Name_ALMACAL,RA_ALMACAL,Dec_ALMACAL,Redshift,Spectrum,Provenance,Confidence,Name_IAU,RA_Optical,Dec_Optical,W1_mag,W2_mag,W3_mag,Separation
J2130+1643,322.5931958,16.72378409,,FALSE,,0,WISEA J213022.36+164,322.5932,16.72379,15,13.883,10.909,0
J2330-3724,352.6491492,-37.41054529,0.278,TRUE,6dF:g2330358-372438,2,PKS 2327-376,352.64917,-37.41056,12.227,11.255,8.708,0.06
J0942-0759,145.5894224,-7.998112286,,TRUE,6dF,7,WISEA J094221.46-075,145.58942,-7.99811,12.836,11.858,8.944,0.06
J0433+0521,68.2962314,5.354338703,0.033573,TRUE,2012RMxAA..48....9T,4,3C 120,68.29623,5.35434,9.284,8.27,5.349,0
J0656-0323,104.0463358,-3.385217383,0.634,FALSE,2011ApJ...743..171A,3,WISEA J065611.08-032,104.0462,-3.38523,13.759,12.557,9.539,0.06
J0112-6634,18.07880393,-66.57921884,1.1888,TRUE,2011AJ....142..165T,4,PKS 0110-668,18.0788,-66.57922,14.553,13.306,10.3,0
J1450+0910,222.6298705,9.174431997,2.62802,TRUE,SDSS,4,WISEA J145031.16+091,222.62987,9.17443,14.363,13.272,10.115,0
J2331-1556,352.9110518,-15.94916939,1.153,FALSE,1983MNRAS.205..793W,3,WISEA J233138.64-155,352.91104,-15.94917,14.365,13.285,10.045,0
J0433+2905,68.40762443,29.09874363,0.97,FALSE,2009A&A...495..691M,2,WISEA J043337.83+290,68.40762,29.09874,13.413,12.395,11.301,0.06
J0603+2159,90.9648209,21.9938052,,FALSE,,0,4C +22.12,90.96482,21.9938,13.867,12.921,10.173,0
J0112+2244,18.02426966,22.74410734,0.265,FALSE,2008ApJS..175...97H,3,[HB89] 0109+224,18.02427,22.74411,10.361,9.414,6.921,0.06
J0946+1017,146.6461247,10.2850372,1.00391,TRUE,SDSS,4,WISEA J094635.06+101,146.64612,10.28504,14.332,13.223,10.514,0
J0228-0337,37.22171344,-3.626979461,2.07,TRUE,DESI,4,[HB89] 0226-038,37.22171,-3.62698,14.342,13.296,9.939,0
J2333-2343,353.4801576,-23.72796064,0.047285,FALSE,2022ApJS..261....2K,3,PKS 2331-240,353.48016,-23.72796,11.027,10.168,7.547,0
J1309+1154,197.3913852,11.90682031,,TRUE,,0,[HB89] 1307+121,197.39139,11.90682,13.061,11.995,9.26,0
J1131-0500,172.8771531,-5.005460392,0.266,TRUE,1997MNRAS.284...85D,4,PKS 1128-047,172.87715,-5.00546,13.07,11.881,8.675,0
J0435+2532,68.89409562,25.54991623,0.60296,TRUE,SDSS,4,B2 0432+25,68.8941,25.54992,14.215,13.105,9.994,0.06
J0700-6610,105.1302242,-66.17923054,,TRUE,This work,7,PKS 0700-661,105.13017,-66.17939,11.264,10.342,7.949,0.54
J1653+3107,253.3746277,31.13246455,1.29693,TRUE,SDSS,4,WISEA J165329.93+310,253.37463,31.13246,14.202,12.96,10.085,0
J0112+3208,18.20972108,32.13817569,0.61,FALSE,2018AJ....155..189D,3,[HB89] 0110+318,18.20972,32.13818,12.057,11.026,8.157,0.06
J0604-4225,91.10489441,-42.42502599,0.611,TRUE,2002A&A...386...97J,4,PKS 0602-424,91.10489,-42.42503,14.301,13.235,9.911,0
J0948+0022,147.2388336,0.373766414,0.583844,TRUE,SDSS,4,WISEA J094857.31+002,147.23883,0.37377,13.282,12.204,9.096,0
J0231-4746,37.79918212,-47.76988411,0.79,TRUE,NTT,4,WISEA J023111.80-474,37.79925,-47.76978,13.968,12.839,10.241,0.42
J2135-5006,323.8339627,-50.11436999,2.189,TRUE,This work,4,WISEA J213520.16-500,323.83371,-50.11394,16.289,15.127,11.499,1.62
J2334+0736,353.5534507,7.607653253,0.401267,TRUE,SDSS,4,WISEA J233412.83+073,353.55345,7.60765,13.134,12.016,9.19,0
J1310+3220,197.6194327,32.34549523,0.995909,TRUE,SDSS,4,WISEA J131028.65+322,197.61941,32.34548,12.586,11.46,8.381,0
J2115-1416,318.8268148,-14.27871451,1.7,FALSE,2010yCat.7258....0V,3,[HB89] 2112-144,318.82681,-14.27871,14.96,13.86,11.022,0
J0437-7148,69.26824,-71.8056,,FALSE,,0,PKS 0437-719,69.26817,-71.80589,14.36,13.278,10.108,1.02
J0432-5109,68.08824288,-51.15699613,0.552,TRUE,2016AJ....152...25M,4,[HB89] 0431-512,68.08824,-51.157,13.294,12.206,9.441,0
J0700+1709,105.0063564,17.15602814,,FALSE,,0,WISEA J070001.49+170,105.00625,17.15609,13.452,12.335,9.062,0.06
J0604+2429,88.59509256,20.27578804,1.133,TRUE,2013AJ....146...10T,4,WISEA J055422.84+201,88.59517,20.27592,,2.704,2.963,0.54
J1453+2648,223.473336,26.80928043,,TRUE,DESI,7,B2 1451+26,223.47334,26.80928,12.88,11.826,9.171,0
J0112+3522,18.05393501,35.37203794,0.45,TRUE,1996MNRAS.282.1274H,3,B2 0109+35,18.05393,35.37204,13.786,12.633,9.561,0.06
J1132-5606,173.0683926,-56.11242555,,FALSE,,0,WISEA J113216.45-560,173.06883,-56.11214,14.259,13.362,10.394,1.38
J0950+0615,147.5144478,6.251060122,,TRUE,SDSS,7,WISEA J095003.46+061,147.51442,6.25106,13.854,12.782,10.134,0
J2136+0041,324.1607764,0.698392428,1.94125,TRUE,SDSS,4,[HB89] 2134+004,324.16078,0.69839,13.65,12.652,9.411,0.06
J1312-0424,198.2120885,-4.413858958,0.825,TRUE,2004ApJ...609..564S,4,WISEA J131250.89-042,198.21209,-4.41386,14.771,13.652,10.885,0
J0438-1251,69.64592087,-12.85093306,1.286,FALSE,2008ApJS..175...97H,3,[HB89] 0436-129,69.64592,-12.85093,14.344,13.193,10.142,0
